# format: DFG-IO-Tag, DFG-IO-Name, ADG-IOB-Id, ADG-IOB-Index, DFG-IO-Latency
INPUT_0, Input1, 13, 12, 0
INPUT_1, Input3, 12, 11, 0
INPUT_2, Input6, 11, 10, 0
INPUT_3, Input9, 15, 14, 0
INPUT_4, Input12, 4, 3, 3
INPUT_5, Input15, 321, 30, 0
INPUT_6, Input18, 315, 24, 3
INPUT_7, Input21, 307, 16, 0
INPUT_8, Input69, 1, 0, 14
OUTPUT_9, Output71, 10, 9, 28
INPUT_10, Input72, 308, 17, 16
OUTPUT_11, Output74, 309, 18, 27
INPUT_12, Input75, 312, 21, 16
OUTPUT_13, Output77, 313, 22, 27
INPUT_14, Input78, 9, 8, 6
OUTPUT_15, Output80, 3, 2, 28
INPUT_16, Input83, 16, 15, 0
INPUT_17, Input85, 14, 13, 0
INPUT_18, Input87, 7, 6, 0
INPUT_19, Input89, 6, 5, 0
INPUT_20, Input91, 5, 4, 0
INPUT_21, Input93, 314, 23, 0
INPUT_22, Input95, 316, 25, 0
INPUT_23, Input97, 2, 1, 0
