# format: DFG-IO-Tag, DFG-IO-Name, ADG-IOB-Id, ADG-IOB-Index, DFG-IO-Latency
INPUT_0, Input1, 119, 14, 0
INPUT_1, Input3, 90, 11, 0
INPUT_2, Input6, 31, 4, 0
INPUT_3, Input9, 91, 12, 0
INPUT_4, Input33, 32, 5, 9
OUTPUT_5, Output35, 62, 9, 24
INPUT_6, Input36, 120, 15, 9
OUTPUT_7, Output38, 149, 18, 23
INPUT_8, Input39, 179, 22, 11
OUTPUT_9, Output41, 150, 19, 23
INPUT_10, Input42, 92, 13, 5
OUTPUT_11, Output44, 61, 8, 21
INPUT_12, Input47, 180, 23, 0
INPUT_13, Input49, 151, 20, 0
INPUT_14, Input51, 89, 10, 0
INPUT_15, Input53, 29, 2, 0
